Device_ID,Packet_Size (bytes),Latency (ms),Throughput (Mbps),Protocol_Type,Source_Port,Destination_Port,IP_Flag,Connection_Duration (ms),Packet_Count,Error_Rate,Fragmentation_Flag,Payload_Size (bytes),Session_Status,Attack_Type
Device_8,350,145.7,77.91,UDP,33754,885,ACK,3412.19,450,0.0781,1,296,Failed,DoS
Device_42,334,180.65,98.87,UDP,5394,324,SYN,1488.69,993,0.0657,1,488,Pending,DDoS
Device_17,1121,365.91,36.32,TCP,849,736,FIN,2108.34,604,0.0437,0,342,Failed,Spoofing
Device_1,741,323.89,34.55,TCP,64711,1016,RST,2402.92,10,0.0214,0,612,Pending,R2L
Device_42,1413,39.71,90.03,TCP,49371,400,RST,990.69,5,0.039,0,1002,Pending,R2L
Device_42,678,232.5,84.12,TCP,1608,766,FIN,908.62,71,0.0231,0,83,Pending,MITM
Device_25,224,367.03,87.09,TCP,45056,144,SYN,152.27,46,0.0284,0,616,Pending,R2L
Device_16,932,166.45,75.38,TCP,2441,909,FIN,6681.2,43,0.0484,1,1072,Pending,R2L
Device_2,1016,90.66,99.86,UDP,23900,211,RST,7657.99,981,0.0133,1,889,Pending,MITM
Device_32,1362,359.31,77.35,UDP,40417,745,RST,5476.93,559,0.0777,1,686,Failed,DoS
Device_33,410,231.17,8.33,ICMP,44570,202,SYN,4414.52,137,0.099,0,557,Established,Probe
Device_2,184,390.54,52.63,TCP,30599,934,FIN,7381.23,666,0.0104,0,213,Pending,Phishing
Device_31,775,309.74,81.63,ICMP,24725,100,SYN,1431.24,517,0.0544,1,1360,Failed,DDoS
Device_5,68,161.53,8.8,UDP,28505,413,None,3554.71,744,0.0165,1,975,Pending,MITM
Device_19,864,133.34,2.96,ICMP,50729,211,None,456.04,128,0.0869,0,8,Established,Probe
Device_22,288,284.73,66.82,TCP,18273,432,RST,5157.29,814,0.037,1,1045,Failed,U2R
Device_27,268,218.24,74.55,UDP,31776,779,ACK,1787.0,679,0.047,0,1376,Failed,U2R
Device_18,1183,128.79,25.62,UDP,134,430,RST,3397.11,499,0.059,0,373,Failed,Spoofing
Device_14,1315,336.68,27.83,ICMP,523,920,FIN,1568.81,641,0.0579,1,1057,Failed,Spoofing
Device_19,450,100.6,35.5,TCP,39347,613,RST,5330.08,437,0.0167,0,229,Failed,SQLi
Device_6,718,184.22,39.73,TCP,11877,606,SYN,6026.94,637,0.078,1,1399,Failed,DoS
Device_50,247,4.7,87.49,TCP,743,910,FIN,2524.27,142,0.0244,1,1267,Pending,Spoofing
Device_40,857,62.83,2.74,TCP,43750,388,SYN,9251.98,54,0.0287,0,82,Pending,MITM
Device_11,928,469.66,60.86,UDP,476,212,RST,6427.64,233,0.03,1,970,Pending,Spoofing
Device_36,1146,390.03,1.67,TCP,56778,396,None,2928.3,22,0.0369,0,421,Established,Probe
Device_29,823,166.6,80.35,TCP,7861,323,SYN,1389.71,935,0.0608,1,691,Failed,DDoS
Device_26,352,113.25,57.19,UDP,46158,772,SYN,4917.13,661,0.0805,0,1453,Failed,DoS
Device_20,1452,123.81,12.92,ICMP,15955,167,RST,5784.34,423,0.0023,1,1153,Established,Normal
Device_11,346,168.22,62.29,UDP,42577,27,FIN,9455.17,648,0.0643,1,611,Failed,U2R
Device_16,1297,453.72,45.15,UDP,58504,175,ACK,982.49,398,0.0033,0,1095,Established,Normal
Device_30,227,128.5,97.34,TCP,5967,730,SYN,4735.4,309,0.0369,1,761,Failed,Phishing
Device_16,161,92.1,34.74,TCP,24058,84,ACK,5721.68,497,0.0294,0,1498,Failed,SQLi
Device_8,90,334.11,8.76,TCP,3289,542,ACK,1941.29,46,0.0416,1,216,Failed,Phishing
Device_30,379,105.82,44.17,ICMP,33100,451,RST,9700.93,842,0.0428,0,730,Failed,U2R
Device_18,1020,425.33,9.84,ICMP,21673,622,None,2774.37,148,0.0182,1,130,Established,Probe
Device_18,127,272.38,59.28,UDP,45901,415,None,1035.6,922,0.0443,1,202,Pending,MITM
Device_18,288,217.22,76.1,UDP,14876,242,FIN,8888.41,913,0.0448,0,453,Failed,U2R
Device_36,305,16.07,99.35,TCP,44855,260,RST,9963.39,50,0.0429,0,1323,Failed,U2R
Device_29,321,330.77,8.26,UDP,26258,246,ACK,5686.46,261,0.037,1,361,Failed,U2R
Device_16,601,341.07,64.66,UDP,38015,752,FIN,3366.17,574,0.0704,1,1342,Failed,DDoS
Device_3,257,255.19,60.89,ICMP,628,493,RST,4475.11,99,0.0358,0,633,Pending,Spoofing
Device_7,1082,182.11,9.8,ICMP,42204,509,None,8392.45,47,0.0254,1,712,Established,Probe
Device_24,492,187.2,90.57,TCP,59031,251,None,9041.05,861,0.0304,1,143,Failed,SQLi
Device_6,354,80.12,82.22,TCP,19256,504,FIN,6778.74,959,0.0918,1,8,Pending,DDoS
Device_9,317,200.97,83.01,TCP,50085,859,RST,7464.47,720,0.097,1,407,Pending,DDoS
Device_39,469,200.55,3.53,UDP,30038,704,ACK,4283.42,23,0.0224,0,1260,Pending,MITM
Device_22,647,276.21,5.95,TCP,21698,453,None,9314.52,41,0.0774,0,1306,Established,Probe
Device_1,661,172.86,48.87,UDP,11502,576,FIN,4474.58,598,0.0439,1,50,Pending,MITM
Device_1,907,409.84,14.06,ICMP,2477,769,FIN,7131.59,475,0.0031,1,1493,Established,Normal
Device_21,943,376.55,3.49,ICMP,6422,1003,ACK,458.48,179,0.0263,0,238,Established,Probe
Device_9,504,427.49,56.29,UDP,51464,49,ACK,9405.0,711,0.0671,0,982,Pending,DDoS
Device_47,86,115.71,86.25,TCP,19297,527,None,8179.37,576,0.0123,0,142,Pending,MITM
Device_36,1254,180.63,47.29,UDP,53238,949,FIN,4236.71,371,0.0052,1,122,Established,Normal
Device_48,639,409.54,81.43,TCP,15071,773,RST,7660.55,35,0.0543,1,635,Pending,R2L
Device_18,441,92.04,34.72,ICMP,4828,532,SYN,9555.56,823,0.032,0,535,Failed,U2R
Device_40,884,145.03,42.75,TCP,53830,528,FIN,8675.84,198,0.0283,1,1406,Pending,MITM
Device_12,313,72.33,2.28,TCP,7847,397,ACK,3344.15,35,0.0519,0,437,Pending,R2L
Device_5,537,80.17,50.88,TCP,29302,10,FIN,8225.98,658,0.0289,1,316,Pending,MITM
Device_2,122,59.22,8.3,ICMP,18933,522,RST,4644.66,193,0.019,0,471,Established,Probe
Device_30,934,309.93,2.2,ICMP,29915,924,FIN,5570.85,152,0.0956,1,517,Established,Probe
Device_24,1258,339.65,2.39,TCP,49669,702,None,760.51,152,0.0591,0,1485,Established,Probe
Device_47,969,210.22,20.58,TCP,21172,547,FIN,8846.85,43,0.0303,0,1433,Pending,R2L
Device_14,94,111.84,20.6,TCP,17900,314,FIN,5745.17,650,0.0384,1,387,Pending,MITM
Device_13,84,341.8,78.43,TCP,43116,408,ACK,2502.69,725,0.0877,0,500,Failed,DDoS
Device_4,1507,413.88,45.11,ICMP,18077,591,RST,7171.55,5,0.0014,1,395,Established,Normal
Device_18,724,202.92,0.34,TCP,47034,1015,FIN,6955.63,31,0.0539,0,372,Pending,R2L
Device_20,410,186.58,52.98,ICMP,27696,3,FIN,7457.34,865,0.0549,1,860,Failed,U2R
Device_14,427,387.67,96.37,TCP,24169,488,ACK,5276.36,478,0.0146,0,1437,Failed,SQLi
Device_13,416,2.3,93.7,UDP,46891,700,FIN,1566.55,615,0.091,1,606,Pending,DDoS
Device_23,486,438.27,0.12,TCP,3796,280,SYN,4265.26,9,0.0219,0,1111,Pending,R2L
Device_33,283,187.12,46.24,TCP,57587,513,ACK,575.18,48,0.0201,1,1229,Pending,R2L
Device_39,403,277.36,84.11,TCP,25011,158,ACK,470.17,649,0.0652,0,656,Failed,DoS
Device_23,128,404.66,15.71,TCP,38806,586,SYN,1562.72,955,0.0107,1,15,Pending,Phishing
Device_33,146,419.12,25.85,ICMP,3241,960,ACK,5175.47,780,0.0628,0,909,Failed,DoS
Device_33,108,37.39,37.69,TCP,45531,520,SYN,5498.37,368,0.0002,0,617,Established,Normal
Device_21,1403,54.52,43.48,UDP,728,808,FIN,7623.97,94,0.0626,1,777,Failed,Spoofing
Device_46,1356,117.48,89.27,UDP,497,615,FIN,9455.47,986,0.0376,0,1182,Failed,Spoofing
Device_14,504,439.08,20.83,TCP,60288,592,None,6871.68,36,0.0242,0,210,Pending,R2L
Device_18,1131,49.22,26.14,UDP,586,163,RST,3624.68,245,0.0256,0,415,Failed,Spoofing
Device_34,694,437.21,36.47,UDP,855,678,RST,4707.32,24,0.0231,0,72,Failed,Spoofing
Device_10,234,90.34,95.11,TCP,53512,664,ACK,4190.12,372,0.0494,1,1114,Failed,Phishing
Device_31,1284,170.96,2.96,ICMP,54572,649,FIN,2514.7,60,0.0178,0,1458,Established,Probe
Device_17,297,57.44,79.74,TCP,44350,716,SYN,2953.65,915,0.0259,0,950,Failed,SQLi
Device_11,1012,176.61,46.12,ICMP,33287,31,RST,1537.5,193,0.0035,1,413,Established,Normal
Device_15,508,420.77,67.28,UDP,842,263,FIN,6078.46,600,0.0292,1,203,Pending,Spoofing
Device_37,524,4.37,39.69,ICMP,43825,661,ACK,1300.76,438,0.0138,0,1350,Established,Normal
Device_43,221,40.22,26.77,TCP,14906,35,ACK,2152.92,41,0.0318,0,623,Pending,Phishing
Device_19,1320,495.05,6.93,UDP,731,463,FIN,7090.07,956,0.0681,0,269,Pending,Spoofing
Device_14,442,379.72,12.62,TCP,48266,354,None,9282.94,756,0.0299,0,269,Failed,SQLi
Device_48,222,213.17,56.39,TCP,44201,94,FIN,6390.26,314,0.0425,0,143,Pending,MITM
Device_25,485,198.7,97.63,TCP,449,413,FIN,2960.58,868,0.0701,0,673,Pending,Spoofing
Device_14,188,338.7,19.36,TCP,53599,459,FIN,7229.71,796,0.0283,0,1399,Failed,SQLi
Device_5,66,438.2,9.74,TCP,37896,932,None,7169.35,388,0.0308,1,876,Pending,Phishing
Device_12,271,242.28,44.94,TCP,16806,677,RST,7618.44,86,0.0128,1,1373,Failed,SQLi
Device_38,976,264.04,63.2,ICMP,259,262,FIN,425.18,241,0.0758,1,440,Failed,Spoofing
Device_33,297,100.73,1.76,ICMP,24180,32,ACK,5276.82,163,0.0443,1,32,Established,Probe
Device_1,591,330.86,9.69,TCP,51252,12,FIN,9264.86,179,0.0107,0,773,Established,Probe
Device_34,435,267.97,75.23,UDP,38668,989,None,2058.35,138,0.0383,1,674,Failed,U2R
Device_43,911,275.07,88.99,UDP,34176,570,ACK,5287.94,695,0.0951,0,425,Pending,DDoS
Device_25,179,197.52,64.69,UDP,38688,22,SYN,2342.18,140,0.0484,1,478,Pending,MITM
Device_23,1450,19.78,19.07,UDP,61301,69,RST,6838.24,165,0.0002,0,604,Established,Normal
Device_38,857,362.42,26.92,UDP,6670,729,None,5360.29,274,0.0087,1,481,Established,Normal
Device_18,350,108.22,70.02,UDP,44391,773,FIN,6943.8,385,0.0413,1,1149,Failed,U2R
Device_11,188,454.54,67.64,TCP,534,276,RST,686.97,315,0.0615,1,492,Failed,Spoofing
Device_28,121,327.66,60.3,TCP,31414,165,RST,4119.94,5,0.0372,0,1154,Pending,R2L
Device_13,320,458.11,20.07,UDP,890,385,RST,9662.18,415,0.02,0,1406,Pending,Spoofing
Device_2,421,168.33,77.53,ICMP,32795,270,FIN,65.09,897,0.0565,1,948,Failed,U2R
Device_13,469,475.89,74.73,UDP,46929,714,ACK,517.68,97,0.0639,1,598,Failed,U2R
Device_32,1469,148.96,81.34,TCP,25180,703,FIN,4753.9,605,0.0441,1,152,Failed,DoS
Device_8,383,416.55,69.11,TCP,38306,795,FIN,6284.65,220,0.0145,0,722,Failed,SQLi
Device_26,390,417.31,42.56,UDP,37754,803,FIN,5591.75,576,0.077,1,977,Failed,U2R
Device_40,284,302.94,26.33,UDP,20971,915,RST,8070.12,343,0.0735,1,672,Failed,U2R
Device_7,1159,183.51,27.04,TCP,55964,425,RST,6031.44,19,0.026,1,46,Pending,R2L
Device_11,688,290.72,83.33,UDP,44003,122,SYN,4587.62,976,0.0274,0,514,Pending,MITM
Device_14,389,482.09,31.78,ICMP,808,135,FIN,3649.79,632,0.0394,1,603,Pending,Spoofing
Device_31,1264,45.19,25.52,TCP,9075,29,SYN,9939.06,19,0.0366,1,1224,Pending,R2L
Device_24,136,426.41,97.43,ICMP,48373,24,SYN,2669.76,763,0.0801,0,1133,Pending,DDoS
Device_16,351,137.41,51.11,ICMP,694,889,FIN,2186.77,430,0.0395,1,1286,Pending,Spoofing
Device_22,846,196.59,49.22,ICMP,126,13,RST,9385.0,852,0.0267,0,311,Failed,Spoofing
Device_50,807,151.9,82.61,TCP,31899,371,None,2415.89,547,0.0136,1,63,Pending,MITM
Device_12,96,223.37,81.44,ICMP,34404,808,ACK,3611.71,481,0.0652,0,1099,Failed,DoS
Device_8,1302,384.41,17.2,ICMP,18358,209,FIN,9722.46,469,0.0028,0,737,Established,Normal
Device_15,256,86.2,94.21,UDP,21998,5,SYN,6981.4,736,0.0121,1,1431,Pending,MITM
Device_23,524,25.44,61.21,TCP,10922,1000,RST,8393.37,533,0.0768,0,1228,Failed,DDoS
Device_1,70,38.23,42.85,UDP,221,400,RST,9570.32,653,0.0476,1,524,Failed,Spoofing
